name,url_pc,Désignation,Marque,Modèle,Système d'exploitation,Famille OS,Langue de l'OS,Système d'exploitation fourni,Marque processeur,Processeur,Type de processeur,Fréquence CPU,Nombre de core,Taille de la mémoire,Nombre de barrettes,Nombre de slots mémoire disponibles,Type de mémoire,Fréquence(s) Mémoire,Taille de mémoire Max,GPU series,Chipset graphique,Max-Q (Design GPU),NVIDIA Studio,Ecran tactile,Type de Dalle,Type d'écran,Taille de l'écran,Résolution Max,Format de l'écran,Ecran large,Dalle mate/antireflets,Dalle brillante,NVIDIA G-SYNC,VR Ready (réalité virtuelle),Taux de rafraîchissement,Luminosité,Configuration disque(s),Disque fourni,Disque secondaire,Type de Disque,Interface du disque dur,Nombre de disques,Nombre de disques max,Lecteur Optique,Lecteur de cartes,Norme(s) réseau,Norme(s) réseau sans-fil,Technologie Intel vPro,Sans-fil,Webcam,Type de H.P,Intel Evo,Norme du clavier,Localisation,Clavier rétroéclairé,Clavier RGB,Pavé numérique,Lecteur biométrique,Office fourni,Connecteur(s) disponible(s),Matériau,Couleur,Profondeur,Largeur,Epaisseur,Poids,Gamme,Ultrabook,Hybride / Convertible,DAS tronc,DAS membres,Indice réparabilité (sur 10),Autonomie,Capacité de la batterie,Nombre de cellules,Batterie amovible,Charge de la batterie par USB-C,Garantie commerciale,Garantie légale,Documentation,img_url,price,Technologie Bluetooth,Performances NPU (en milliard d'opérations par seconde),Emplacement(s) libre(s) pour disque dur,Epaisseur Avant,Epaisseur Arrière,Taille mémoire vidéo,Type mémoire vidéo,NPU (Neural Processing Unit),TGP (Total Graphics Power),Chipset,url,Gamme Macbook,Année de sortie,Capacité,Graveur DVD,Type de lecteur / graveur,Microphone intégré,Touches Multimédia,Sortie HDMI,Capacité du chargeur,Bureautique,Gamer,Graphisme,Internet,Multimédia,Professionnel
Altyk L14F-I5U16-N1,https://www.ldlc.com/fiche/PB00686482.html,Altyk L14F-I5U16-N1,"ALTYK

                      ALTYK",L14F-I5U16-N1-5,Windows 11 Famille,Microsoft Windows 11,Français,Oui,Intel,Intel Core i5,Intel Core i5-1235U (2 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 12 Threads - Cache 12 Mo),4.4                            GHz,10.0,16                            Go,2.0,0.0,DDR4,DDR4 3200 MHz,64                            Go,Intel Iris,Intel Iris Xe Graphics,Non,Non,Non,Dalle IPS,LED,14                            pouces,1920 x 1080 pixels,16/9,Oui,Oui,Non,Non,Non,60 Hz,300                            nit(s),SSD 960 Go,SSD 960 Go,Sans disque secondaire,SSD (Solid State Drive),M.2 - PCI-E 3.0 4x,1.0,1.0,Aucun,"micro SDXC, micro SDHC, micro SD",10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,Oui,Intégrés,Non,AZERTY,Français,Oui,Non,Non,Oui,Non,"RJ45, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Aluminium,Gris,214.8                            mm,325                            mm,17.9                            mm,1.4                            kg,Altyk L14,Non,Non,0.2                            W/kg,0.2                            W/kg,7.8,7.5                            Heure(s),45                            Wh,2.0,Non,Oui,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Consulter la documentation,https://media.ldlc.com/r1600/ld/products/00/06/05/99/LD0006059907_0006060436_0006060452_0006170808_0006248583.jpg, 649€95,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0
Altyk L14F-I5U16-N1,https://www.ldlc.com/fiche/PB00692205.html,Altyk L14F-I5U16-N1,"ALTYK

                      ALTYK",L14F-I5U16-N1-4,Windows 11 Famille,Microsoft Windows 11,Français,Oui,Intel,Intel Core i5,Intel Core i5-1235U (2 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 12 Threads - Cache 12 Mo),4.4                            GHz,10.0,16                            Go,2.0,0.0,DDR4,DDR4 3200 MHz,64                            Go,Intel Iris,Intel Iris Xe Graphics,Non,Non,Non,Dalle IPS,LED,14                            pouces,1920 x 1080 pixels,16/9,Oui,Oui,Non,Non,Non,60 Hz,300                            nit(s),SSD 960 Go,SSD 960 Go,Sans disque secondaire,SSD (Solid State Drive),M.2 - PCI-E 3.0 4x,1.0,1.0,Aucun,"micro SDXC, micro SDHC, micro SD",10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,Oui,Intégrés,Non,AZERTY,Français,Oui,Non,Non,Oui,Non,"RJ45, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Aluminium,Gris,214.8                            mm,325                            mm,17.9                            mm,1.4                            kg,Altyk L14,Non,Non,0.2                            W/kg,0.2                            W/kg,7.8,7.5                            Heure(s),45                            Wh,2.0,Non,Oui,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Consulter la documentation,https://media.ldlc.com/r1600/ld/products/00/06/05/99/LD0006059907_0006060436_0006060452_0006170808_0006248583_0006258635.jpg, 649€95,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0
Altyk L14F-I7U16-N1,https://www.ldlc.com/fiche/PB00654242.html,Altyk L14F-I7U16-N1,"ALTYK

                      ALTYK",L14F-I7U16-N1-2,Windows 11 Famille,Microsoft Windows 11,Français,Oui,Intel,Intel Core i7,Intel Core i7-1255U (2 Performance-cores 4.7 GHz + 8 Efficient-cores - 3.5 GHz Turbo - 12 Threads - Cache 12 Mo),4.7                            GHz,10.0,16                            Go,2.0,0.0,DDR4,DDR4 3200 MHz,64                            Go,Intel Iris,Intel Iris Xe Graphics,Non,Non,Non,Dalle IPS,LED,14                            pouces,1920 x 1080 pixels,16/9,Oui,Oui,Non,Non,Non,60 Hz,300                            nit(s),SSD 960 Go,SSD 960 Go,Sans disque secondaire,SSD (Solid State Drive),M.2 - PCI-E 3.0 4x,1.0,1.0,Aucun,"micro SDXC, micro SDHC, micro SD",10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,Oui,Intégrés,Non,AZERTY,Français,Oui,Non,Non,Oui,Non,"RJ45, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Aluminium,Gris,214.8                            mm,325                            mm,17.9                            mm,1.4                            kg,Altyk L14,Non,Non,0.2                            W/kg,0.2                            W/kg,8.0,7.5                            Heure(s),45                            Wh,2.0,Non,Oui,5 ans vendeur,Voir les modalités,Consulter la documentation,https://media.ldlc.com/r1600/ld/products/00/06/05/99/LD0006059907_0006060436_0006187870.jpg, 649€95,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0
Altyk L14F-I7U32-N2,https://www.ldlc.com/fiche/PB00643995.html,Altyk L14F-I7U32-N2,"ALTYK

                      ALTYK",L14F-I7U32-N2-2,Windows 11 Famille,Microsoft Windows 11,Français,Oui,Intel,Intel Core i7,Intel Core i7-1255U (2 Performance-cores 4.7 GHz + 8 Efficient-cores - 3.5 GHz Turbo - 12 Threads - Cache 12 Mo),4.7                            GHz,10.0,32                            Go,2.0,0.0,DDR4,DDR4 3200 MHz,64                            Go,Intel Iris,Intel Iris Xe Graphics,Non,Non,Non,Dalle IPS,LED,14                            pouces,1920 x 1080 pixels,16/9,Oui,Oui,Non,Non,Non,60 Hz,300                            nit(s),SSD 1920 Go,SSD 1920 Go,Sans disque secondaire,SSD (Solid State Drive),M.2 - PCI-E 3.0 4x,1.0,1.0,Aucun,"micro SDXC, micro SDHC, micro SD",10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,Oui,Intégrés,Non,AZERTY,Français,Oui,Non,Non,Oui,Non,"1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, RJ45",Aluminium,Gris,214.8                            mm,325                            mm,17.9                            mm,1.4                            kg,Altyk L14,Non,Non,0.2                            W/kg,0.2                            W/kg,8.0,7.5                            Heure(s),45                            Wh,2.0,Non,Oui,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Consulter la documentation,https://media.ldlc.com/r1600/ld/products/00/06/05/99/LD0006059907_0006060436_0006107390_0006170813.jpg, 649€95,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0
Altyk L14P-I5U16-N1,https://www.ldlc.com/fiche/PB00686817.html,Altyk L14P-I5U16-N1,"ALTYK

                      ALTYK",L14P-I5U16-N1-4,Windows 11 Professionnel,Microsoft Windows 11,Français,Oui,Intel,Intel Core i5,Intel Core i5-1235U (2 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 12 Threads - Cache 12 Mo),4.4                            GHz,10.0,16                            Go,2.0,0.0,DDR4,DDR4 3200 MHz,64                            Go,Intel Iris,Intel Iris Xe Graphics,Non,Non,Non,Dalle IPS,LED,14                            pouces,1920 x 1080 pixels,16/9,Oui,Oui,Non,Non,Non,60 Hz,300                            nit(s),SSD 960 Go,SSD 960 Go,Sans disque secondaire,SSD (Solid State Drive),M.2 - PCI-E 3.0 4x,1.0,1.0,Aucun,"micro SDHC, micro SDXC, micro SD",10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,Oui,Intégrés,Non,AZERTY,Français,Oui,Non,Non,Oui,Non,"1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, RJ45",Aluminium,Gris,214.8                            mm,325                            mm,17.9                            mm,1.4                            kg,Altyk L14,Non,Non,0.2                            W/kg,0.2                            W/kg,7.9,7.5                            Heure(s),45                            Wh,2.0,Non,Oui,5 ans vendeur,Voir les modalités,Consulter la documentation,https://media.ldlc.com/r1600/ld/products/00/06/05/99/LD0006059907_0006060410_0006172696_0006249236.jpg, 649€95,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1
Altyk L14P-I7U16-N1,https://www.ldlc.com/fiche/PB00656397.html,Altyk L14P-I7U16-N1,"ALTYK

                      ALTYK",L14P-I7U16-N1-3,Windows 11 Professionnel,Microsoft Windows 11,Français,Oui,Intel,Intel Core i7,Intel Core i7-1255U (2 Performance-Core 4.7 GHz Turbo + 8 Efficient-Core 3.5 GHz Turbo- 12 Threads - Cache 12 Mo - TDP 12/55 W),4.7                            GHz,10.0,16                            Go,2.0,0.0,DDR4,DDR4 3200 MHz,64                            Go,Intel Iris,Intel Iris Xe Graphics,Non,Non,Non,Dalle IPS,LED,14                            pouces,1920 x 1080 pixels,16/9,Oui,Oui,Non,Non,Non,60 Hz,300                            nit(s),SSD 960 Go,SSD 960 Go,Sans disque secondaire,SSD (Solid State Drive),M.2 - PCI-E NVMe,1.0,,Aucun,"micro SD, micro SDHC, micro SDXC",10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,Oui,Intégrés,Non,AZERTY,Français,Oui,Non,Non,Oui,Non,"1 X                                                                                                                                                                                                 
                                                                                    USB 3.0 Type C, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    RJ45 Femelle, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.0","Aluminium, ABS (Plastique)",Gris,214.8                            mm,325                            mm,17.9                            mm,1.4                            kg,Altyk L14,Non,Non,0.2                            W/kg,0.2                            W/kg,8.0,7.5                            Heure(s),45                            Wh,2.0,Non,Oui,5 ans vendeur,Voir les modalités,Consulter la documentation,https://media.ldlc.com/r1600/ld/products/00/06/05/99/LD0006059907_0006193157.jpg, 649€95,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
Altyk L14P-I7U32-N2,https://www.ldlc.com/fiche/PB00643996.html,Altyk L14P-I7U32-N2,"ALTYK

                      ALTYK",L14P-I7U32-N2-2,Windows 11 Professionnel,Microsoft Windows 11,Français,Oui,Intel,Intel Core i7,Intel Core i7-1255U (2 Performance-cores 4.7 GHz + 8 Efficient-cores - 3.5 GHz Turbo - 12 Threads - Cache 12 Mo),4.7                            GHz,10.0,32                            Go,2.0,0.0,DDR4,DDR4 3200 MHz,64                            Go,Intel Iris,Intel Iris Xe Graphics,Non,Non,Non,Dalle IPS,LED,14                            pouces,1920 x 1080 pixels,16/9,Oui,Oui,Non,Non,Non,60 Hz,300                            nit(s),SSD 1920 Go,SSD 1920 Go,Sans disque secondaire,SSD (Solid State Drive),M.2 - PCI-E 3.0 4x,1.0,1.0,Aucun,"micro SD, micro SDHC, micro SDXC",10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,Oui,Intégrés,Non,AZERTY,Français,Oui,Non,Non,Oui,Non,"RJ45, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C",Aluminium,Gris,214.8                            mm,325                            mm,17.9                            mm,1.4                            kg,Altyk L14,Non,Non,0.2                            W/kg,0.2                            W/kg,8.0,7.5                            Heure(s),45                            Wh,2.0,Non,Oui,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Consulter la documentation,https://media.ldlc.com/r1600/ld/products/00/06/05/99/LD0006059907_0006060436_0006107390_0006107396_0006170818.jpg, 649€95,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1
Altyk L15P-I5P16-N1,https://www.ldlc.com/fiche/PB00569063.html,Altyk L15P-I5P16-N1,"ALTYK

                      ALTYK",L15P-I5P16-N1-1,Windows 11 Professionnel,Microsoft Windows 11,Français,Oui,Intel,Intel Core i5,Intel Core i5-1240P (4 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 16 Threads - Cache 12 Mo),4.4                            GHz,10.0,16                            Go,2.0,0.0,DDR4,DDR4 3200 MHz,64                            Go,Intel Iris,Intel Iris Xe Graphics,Non,Non,Non,Dalle IPS,LED,15.6                            pouces,1920 x 1080 pixels,16/9,Oui,Oui,Non,Non,Non,60 Hz,250                            nit(s),SSD 960 Go,SSD 960 Go,Sans disque secondaire,SSD (Solid State Drive),M.2 - PCI-E 3.0 4x,1.0,1.0,Aucun,"micro SDXC, micro SDHC, micro SD",10/100/1000 Mbps,Wi-Fi 6 AX,Non,Oui,Oui,Intégrés,Non,AZERTY,Français,Oui,Non,Oui,Oui,Non,"RJ45, 1 X                                                                                                                                                                                                 
                                                                                    USB 3.1 Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.1, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Aluminium,Gris,233.8                            mm,359.5                            mm,18                            mm,1.7                            kg,Altyk L15,Non,Non,,,8.0,6.5                            Heure(s),53                            Wh,3.0,Non,Oui,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Consulter la documentation,https://media.ldlc.com/r1600/ld/products/00/06/06/04/LD0006060483.jpg, 649€95,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1
Altyk L16F-I5P16-N1,https://www.ldlc.com/fiche/PB00690427.html,Altyk L16F-I5P16-N1,"ALTYK

                      ALTYK",L16F-I5P16-N1-1,Windows 11 Famille,Microsoft Windows 11,Français,Oui,Intel,Intel Core i5,Intel Core i5-1240P (2 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 12 Threads - Cache 12 Mo),4.4                            GHz,10.0,16                            Go,,,DDR4,,,Intel UHD,Intel UHD Graphics,Non,Non,Non,Dalle IPS,LED,16                            pouces,1920 x 1200 pixels,16/10,Oui,Oui,Non,Non,Non,60 Hz,,SSD 960 Go,SSD 960 Go,Sans disque secondaire,SSD (Solid State Drive),M.2 - PCI-E 3.0 4x,1.0,1.0,Aucun,"micro SDXC, micro SDHC, micro SD",,Wi-Fi 6E,Non,Oui,Oui,Intégrés,Non,AZERTY,Français,Oui,Non,Oui,Oui,Non,"1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle, 2 X                                                                                                                                                                                                 
                                                                                    DisplayPort USB Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.0, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo",Aluminium,Gris,251                            mm,357                            mm,14                            mm,,Altyk L16,Non,Non,,,7.8,,63.5                            Wh,3.0,Non,Oui,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Consulter la documentation,https://media.ldlc.com/r1600/ld/products/00/06/25/37/LD0006253792.jpg, 649€95,Bluetooth 5.3,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1
Altyk L16F-I5P32-N2,https://www.ldlc.com/fiche/PB00691018.html,Altyk L16F-I5P32-N2,"ALTYK

                      ALTYK",L16F-I5P32-N2-2,Windows 11 Famille,Microsoft Windows 11,Français,Oui,Intel,Intel Core i5,Intel Core i5-1240P (2 Performance-cores 4.4 GHz + 8 Efficient-cores - 3.3 GHz Turbo - 12 Threads - Cache 12 Mo),4.4                            GHz,10.0,32                            Go,,,DDR4,,,Intel UHD,Intel UHD Graphics,Non,Non,Non,Dalle IPS,LED,16                            pouces,1920 x 1200 pixels,16/10,Oui,Oui,Non,Non,Non,60 Hz,,SSD 1920 Go,SSD 1920 Go,Sans disque secondaire,SSD (Solid State Drive),M.2 - PCI-E 3.0 4x,1.0,1.0,Aucun,"micro SDXC, micro SD, micro SDHC",,Wi-Fi 6E,Non,Oui,Oui,Intégrés,Non,AZERTY,Français,Oui,Non,Oui,Oui,Non,"2 X                                                                                                                                                                                                 
                                                                                    DisplayPort USB Type C, 2 X                                                                                                                                                                                                 
                                                                                    USB 3.0, 1 X                                                                                                                                                                                                 
                                                                                    Jack 3,5mm Femelle Stéréo, 1 X                                                                                                                                                                                                 
                                                                                    HDMI Femelle",Aluminium,Gris,251                            mm,357                            mm,14                            mm,1.76                            kg,Altyk L16,Non,Non,,,8.0,,63.5                            Wh,3.0,Non,Oui,"3 ans constructeur
    
     
        5 ans vendeur",Voir les modalités,Consulter la documentation,https://media.ldlc.com/r1600/ld/products/00/06/25/38/LD0006253825_0006255073.jpg, 649€95,Bluetooth 5.3,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1
